No,コマサイズ,話者,セリフ,状況描写,構図・演出
1,大,若林,柏木さん……月末に明るいうちに帰るの……入社して初めてです。,"【場所】ソラノ建設の社屋前の駐車場。【時間】夕方18:30頃、夕焼け空。【人物】美咲（30代後半・眼鏡・髪をまとめたオフィス服の女性）と若林（20代前半・ショートボブの若い女性社員）が並んで歩いている。【背景】駐車場にダンプカーやバン等の工事車両が停まっている。社屋は3階建ての中規模建設会社。2人ともカバンを持ち、穏やかな笑顔。",鮮やかなオレンジ〜赤の夕焼け空を画面いっぱいに大きく描く。空の色彩で強いインパクトを出す。2人のシルエットを逆光で印象的に。背景に工事車両。読者の目を一発で止める1枚目にする。
2,小,ナレーション,——3ヶ月前。この会社の経理室は地獄だった。,"【場所】なし（暗転テキストのみ）。黒い背景に白い文字だけが浮かぶ。",黒背景に白文字。不穏な雰囲気への切り替え。
3,中,ナレーション,毎月25日を過ぎると、この部屋は戦場になる。,"【場所】ソラノ建設2階・経理室。6畳ほどのスペースにL字デスクが2台。【時間】夜21:30。壁掛け時計が21:30を指す。【状態】デスクの上は封筒から出された請求書が山積み。付箋やクリップが散乱。蛍光灯だけが煌々と光る。窓の外は暗い。コーヒーカップと電卓がデスクの端。スチール棚にファイルが並ぶ。",経理室の俯瞰。請求書の量感を強調。コマ1との落差を意識。
4,小,美咲,梶原さん……この字、「7」なの？「1」なの……？,"【場所】経理室・美咲のデスク上。【状態】A4サイズの手書き請求書が1枚。金額欄にくせ字で数字が書かれている。美咲がペンを止め、眉間にしわを寄せて請求書を睨む。",手元アップ。くせ字の金額欄。後のデモの伏線。
5,中,美咲,あ、梶原さん？すみません、請求書の金額の確認を……,"【場所】経理室。【人物】美咲がデスクの固定電話で通話中。【背景】デスク上に請求書の山。PCモニターの画面に会計ソフト。疲れた表情で受話器を耳に当てている。",美咲の電話シーン。疲れと申し訳なさの表情。
6,小,梶原（電話口）,あー？今現場なんだけど！あとでかけ直すわ！,"【場所】経理室の美咲側。受話器から「ガチャン」と切られた音。美咲が受話器を持ったまま呆然としている。",効果音「ガチャン」。美咲の諦めた表情。
7,中,黒田,柏木さん、悪いね〜。先月分の請求書、現場から集まったから持ってきたよ。,"【場所】経理室の入口。【人物】黒田（40代・がっしり体型・日焼けした工事部長。作業着姿）が段ボール箱を両手で抱えて入ってくる。箱の中に封筒と請求書がぎっしり詰まっている。美咲がデスクから振り返る。",段ボールの中の請求書の量感。黒田は悪気がない笑顔。
8,小,美咲,え……これ全部ですか……？,"【場所】経理室。美咲が段ボール箱の中を覗き込み、絶句している。口が半開き。",美咲の驚き表情アップ。
9,中,ナレーション,"協力会社80社。同時進行する現場は常時15〜20。届く請求書は、月に約400枚。","【場所】経理室・美咲のデスク。【状態】美咲がデスクで請求書を色分けした付箋で仕分けしている。デスク上に付箋で分類された請求書の列が5〜6列。横にコード対応表のノートが開いてある。",デスク俯瞰。付箋で分類された請求書の列。
10,中,若林,柏木さん……先に帰ります。すみません……,"【場所】経理室。【時間】夜23:00。壁掛け時計が23:00を指す。【人物】若林がカバンとコートを持ち、申し訳なさそうに頭を下げている。美咲はデスクでPCに向かったまま笑顔で手を振るが、目の下にクマ。",美咲は笑顔だが目の下にクマ。若林との対比。
11,小,美咲,……あと130枚。,"【場所】経理室。【時間】深夜（時計なし、窓の外は真っ暗）。【状態】オフィスフロアは暗く、経理室のデスクライトと蛍光灯だけが光っている。美咲が一人でPCに向かう。デスク上にコーヒーの空き缶が3つ。",暗いオフィスで経理室だけ明かり。美咲の背中。孤独感。
12,中,若林,柏木さん……昨日入力した分、現場コードが2件間違ってて……全部やり直しです……,"【場所】経理室。【時間】翌朝、出勤直後。蛍光灯と窓からの朝日。【人物】若林がPCモニターを指差し、泣きそうな顔。モニターにエラー表示や赤いハイライトが見える。美咲はカバンを肩にかけたまま横に立っている。",若林の困惑とモニターのエラー画面。
13,小,美咲,……,"【場所】経理室の入口付近。美咲がカバンを持ったまま立ち尽くしている。表情が凍りついている。",凍りついた表情アップ。
14,大,美咲,もう20年、この方法でやってきた。でも……あと何年、これを続けられるんだろう。,"【場所】ソラノ建設2階・給湯室。小さな流し台と電子レンジがある狭い部屋。【時間】昼休み頃。窓から外の光。【人物】美咲が一人で窓際に立ち、白いコーヒーカップを両手で持ちながら窓の外を見ている。【背景】窓の外にダンプカーや建設車両が見える駐車場。",逆光のシルエット。窓の外に工事車両。大コマで美咲の限界と孤独を表現。
15,中,相川社長,おう、堀内か。久しぶりだな。,"【場所】ソラノ建設3階・社長室。木目のデスクと革張りの椅子。【人物】相川社長（50代・やや恰幅のいい男性・スーツ姿・温厚な顔）がデスクでスマホを耳に当てている。【背景】壁に額入りの竣工写真3枚と安全表彰状。棚に金色のヘルメットと建設関連の書籍。",社長室の雰囲気。にこやかな表情。
16,中,堀内,丸山さんとこ、まだ請求書は手でやってんの？うちはもうAIに任せてるよ。,"【場所】画面分割。左：相川社長の社長室（コマ15と同じ）。右：堀内社長（50代・痩せ型・眼鏡の男性）が自社のモダンなオフィスでスマホ通話中。",画面分割で2人の電話シーン。
17,小,相川社長,AI？うちの柏木がちゃんとやってるから大丈夫だよ。,"【場所】社長室。相川社長がデスクの椅子にもたれ、余裕の笑顔で電話を続けている。",余裕の表情アップ。
18,中,堀内,"うちの経理が月末に体調崩して休んだことがあってな。誰も代わりにできなくて、支払いが遅れかけた。柏木さんが倒れたら、同じことになるぞ。","【場所】画面分割または回想演出。堀内が真剣な表情でスマホに向かって話す。【回想】堀内の会社の経理室で、代わりの男性社員が請求書の山の前で途方に暮れている。",回想演出と堀内の忠告の表情を対比。
19,小,相川社長,……,"【場所】社長室。相川社長が椅子の背もたれにもたれ、スマホを下ろして考え込んでいる。視線は窓の外。窓から夕方の光。",窓の外を見る社長のシルエット。不安が芽生える。
20,大,相川社長,"柏木さん……最近、だいぶ遅くまでやってるみたいじゃないか。身体は大丈夫か？","【場所】経理室のドア前。【時間】夜21:00頃。【人物】相川社長がドアを開けて経理室を覗き込んでいる。ドアの向こうに美咲がデスクに向かい、周囲に請求書の山。社長はスーツの上着を脱いだワイシャツ姿。社長の表情は驚きと心配。",ドア越しの構図。社長の驚きと奥の請求書の山。社長が初めて「現実」を見る瞬間。
21,中,相川社長,"知り合いが使ってるサービスがあるらしい。話だけでも聞いてみてくれないか。","【場所】経理室。相川社長が美咲のデスクの横に立ち、名刺を手渡している。名刺には「CraftBank株式会社 DXコンサルタント 森下元貴」と印刷。美咲はデスクの椅子に座ったまま名刺を受け取る。",名刺「CraftBank DXコンサルタント 森下元貴」のクローズアップ。
22,小,美咲,AI……ですか？,"【場所】経理室。美咲が名刺を両手で持ち、半信半疑の表情で見つめている。",懐疑的な表情アップ。
23,中,美咲,"（また、ITの営業か……。どうせ現場のこと分かりもしないくせに。こっちは月末で忙しいのに）","【場所】ソラノ建設2階・会議室。長テーブル（6人用）とパイプ椅子。壁にホワイトボード。窓からの日差し。【人物】美咲がテーブルの一方に腕を組んで座っている。壁の時計を横目で見ている。テーブルの上にペットボトルのお茶。",モノローグ。強い警戒心と苛立ち。
24,大,森下,はじめまして。CraftBankの森下です。,"【場所】会議室の入口〜テーブル前。【人物】森下（30代前半・日焼けした肌・短髪・清潔感のある男性）が名刺を差し出している。片手に白いヘルメットを持っている。スーツではなくポロシャツにチノパンという現場寄りの服装。美咲と社長がテーブルの向かい側。",森下の初登場。「IT営業」のイメージとの落差を演出。ヘルメットと日焼けで現場感。
25,中,森下,"私、前職は建設会社で施工管理をやっていました。夏場の道路工事で熱中症になりかけたこともあります。","【場所】会議室。森下が椅子に座り、苦笑しながら話している。【回想カット】若い森下がヘルメットとフル装備で夏の道路工事現場に立っている。アスファルトの照り返し。",回想カット：ヘルメット姿で現場に立つ若い森下。
26,小,美咲,え……現場にいた方なんですか？,"【場所】会議室。美咲の上半身。腕組みが解けて、両手がテーブルの上に置かれている。表情が少し柔らかくなっている。",ガードが解ける瞬間のアップ。
27,中,森下,"柏木さん、ひとつだけ聞いてもいいですか。——月末、何時に帰れていますか？","【場所】会議室。森下がテーブル越しに美咲を見つめている。穏やかだが真剣な目。ノートPCは閉じたまま（まだ売り込みモードではない）。",森下の真剣だが威圧感のない表情。
28,中,美咲,"正直……月末は毎回80時間くらいかかっています。ミスがあると全部やり直しで……","【場所】会議室。美咲がうつむき加減でテーブルを見ながら話している。隣に座る相川社長が目を見開いて驚いている（初めて聞いた数字）。森下は静かに頷いている。",美咲がうつむく。社長の驚きリアクション。
29,小,美咲,でも……私がやらなきゃ、誰もできないから。,"【場所】会議室。美咲が小さく自嘲的に笑う。目は少し潤んでいる。",自嘲的な微笑みアップ。「仕方ない」が染みついた表情。
30,中,森下,"柏木さん。さっきお見せいただいた、あの手書きの請求書……アップロードしてみますね。","【場所】会議室。森下がノートPCを開き、画面をこちらに向けている。テーブルの上にコマ4と同じ梶原の手書き請求書が1枚置いてある。森下がスマホで請求書を撮影している。",PC画面を中心に構成。森下の手元。
31,大,美咲,"……読めてる。あの梶原さんの字を……！","【場所】会議室。森下のノートPC画面に「梶原工業 ¥1,350,000 国道3号拡幅工事」とAIの読み取り結果が表示されている。美咲が椅子から身を乗り出し、PC画面に顔を近づけている。目が見開いている。相川社長も身を乗り出して画面を覗き込む。",画面クローズアップと美咲の驚き。コマ4の伏線回収。
