No,コマサイズ,話者,セリフ,状況描写,構図・演出
1,中,ナレーション,毎月25日を過ぎると、この部屋は戦場になる。,経理室。デスクの上は請求書の山。時計は21:30。,経理室の俯瞰。請求書の量感を強調。
2,小,美咲,佐々木さん……この字、「7」なの？「1」なの……？,手書き請求書を見ながら困惑。,手元アップ。くせ字の金額欄。
3,中,美咲,あ、佐々木さん？すみません、請求書の金額の確認を……,電話をかけている。背景に請求書の山。,美咲の電話シーン。疲れと申し訳なさの表情。
4,小,佐々木（電話口）,あー？今現場なんだけど！あとでかけ直すわ！,ガチャ切りされる。,効果音「ガチャン」。美咲の諦めた表情。
5,中,小林,高橋さん、悪いね〜。先月分の請求書、現場から集まったから持ってきたよ。,工事部長が段ボール箱を持って入ってくる。,段ボールの中の請求書の量感。小林は笑顔。
6,小,美咲,え……これ全部ですか……？,美咲が絶句。,美咲の驚き表情アップ。
7,中,ナレーション,"協力会社80社。同時進行する現場は常時15〜20。届く請求書は、月に約400枚。",美咲が付箋で請求書を仕分けしている。,デスク俯瞰。付箋で分類された請求書の列。
8,小,美咲,国道3号拡幅工事……現場コードは……R5-0034……,PCに手入力。手元にコード対応表ノート。,横顔とモニターのアップ。
9,中,佐藤,高橋さん……先に帰ります。すみません……,佐藤がカバンを持ち頭を下げる。時計は23:00。,美咲は笑顔だが目の下にクマ。対比。
10,小,美咲,うん、お疲れさま。,美咲は笑顔だが疲弊している。,疲れた笑顔アップ。
11,中,美咲,……あと130枚。,深夜。一人で作業を続けている。,暗いオフィスで経理室だけ明かり。美咲の背中。
12,中,佐藤,高橋さん……昨日入力した分、現場コードが2件間違ってて……全部やり直しです……,翌朝。佐藤が泣きそうな顔でモニターを指す。,佐藤の困惑とモニターのエラー画面。
13,小,美咲,……,カバンを持ったまま立ち尽くす。,凍りついた表情アップ。
14,中,美咲,"もう20年、この方法でやってきた。でも……あと何年、これを続けられるんだろう。",給湯室。窓の外を見ながらコーヒーカップを持つ。,逆光のシルエット。窓の外に工事車両。
15,中,丸山社長,おう、中村か。久しぶりだな。,応接室でスマホ通話。壁に表彰状や竣工写真。,社長室の雰囲気。にこやかな表情。
16,中,中村,丸山さんとこ、まだ請求書は手でやってんの？うちはもうAIに任せてるよ。,電話口の中村社長。,画面分割で2人の電話シーン。
17,小,丸山社長,AI？うちの高橋がちゃんとやってるから大丈夫だよ。,社長が笑って返す。,余裕の表情アップ。
18,中,中村,"うちの経理が月末に体調崩して休んだことがあってな。誰も代わりにできなくて、支払いが遅れかけた。属人化ってやつだよ。",中村社長が真剣な表情。,回想演出。代わりの社員が途方に暮れる。
19,小,中村,高橋さんが倒れたら、同じことになるぞ。,忠告。,中村の真剣な表情アップ。
20,小,丸山社長,……,椅子にもたれて考え込む。,窓の外を見る社長のシルエット。
21,大,丸山社長,"高橋さん……最近、だいぶ遅くまでやってるみたいじゃないか。身体は大丈夫か？",社長が経理室を覗きに来る。請求書の山を見て驚く。,ドア越しの構図。社長の驚きと奥の請求書の山。
22,中,丸山社長,"知り合いが使ってるサービスがあるらしい。請求書をAIで処理するんだと。話だけでも聞いてみてくれないか。",社長が名刺を渡す。,名刺「CraftBank DXコンサルタント 森下元貴」のクローズアップ。
23,小,美咲,AI……ですか？,美咲が半信半疑で名刺を受け取る。,懐疑的な表情アップ。
24,大,森下,はじめまして。CraftBankの森下です。,会議室。森下が名刺交換。片手にヘルメット。,森下の初登場。ヘルメットで現場感を演出。
25,小,美咲,（また、ITの営業か……）,美咲が腕を組み構えている。,モノローグ。警戒した表情アップ。
26,中,森下,"私、前職は建設会社で施工管理をやっていました。一級建築施工管理技士です。",森下が自己紹介。,名刺の「一級建築施工管理技士」クローズアップ。
